Timestamp,Trans_x,Trans_y,Trans_z,Quaternion_w,Quaternion_x,Quaternion_y,Quaternion_z
0,-189.906830,255.689987,10.000000,0.510744,0.510744,0.489020,0.489020
33,-189.907013,255.689987,10.000000,0.510744,0.510744,0.489020,0.489020
66,-190.315125,255.706268,10.000000,0.510679,0.510679,0.489088,0.489088
100,-190.723587,255.722534,10.000000,0.510613,0.510613,0.489157,0.489157
133,-191.132416,255.738831,10.000000,0.510547,0.510547,0.489225,0.489225
166,-191.541641,255.755127,10.000000,0.510482,0.510482,0.489294,0.489294
200,-191.951233,255.771469,10.000000,0.510416,0.510416,0.489363,0.489363
233,-192.361176,255.787796,10.000000,0.510350,0.510350,0.489432,0.489432
266,-192.771484,255.804169,10.000000,0.510284,0.510284,0.489500,0.489500
300,-193.182190,255.820496,10.000000,0.510218,0.510218,0.489569,0.489569
333,-193.593246,255.836884,10.000000,0.510151,0.510151,0.489638,0.489638
366,-194.004669,255.853287,10.000000,0.510085,0.510085,0.489707,0.489707
400,-194.416473,255.869705,10.000000,0.510019,0.510019,0.489776,0.489776
433,-194.828629,255.886139,10.000000,0.509953,0.509953,0.489845,0.489845
466,-195.241165,255.902557,10.000000,0.509886,0.509886,0.489914,0.489914
500,-195.654053,255.919006,10.000000,0.509820,0.509820,0.489984,0.489983
533,-196.067322,255.935486,10.000000,0.509753,0.509753,0.490053,0.490053
566,-196.480957,255.951981,10.000000,0.509687,0.509687,0.490122,0.490122
600,-196.894958,255.967850,10.000000,0.509618,0.509618,0.490193,0.490193
633,-197.309357,255.983398,10.000000,0.509548,0.509548,0.490266,0.490266
666,-197.724121,255.998932,10.000000,0.509479,0.509479,0.490338,0.490338
700,-198.139221,256.014496,10.000000,0.509409,0.509409,0.490411,0.490411
733,-198.554718,256.030060,10.000000,0.509339,0.509339,0.490484,0.490483
766,-198.970551,256.045654,10.000000,0.509269,0.509269,0.490556,0.490556
800,-199.386780,256.061279,10.000000,0.509199,0.509199,0.490629,0.490629
833,-199.803329,256.076843,10.000000,0.509129,0.509129,0.490702,0.490702
866,-200.220261,256.092468,10.000000,0.509058,0.509058,0.490775,0.490774
900,-200.637558,256.108093,10.000000,0.508988,0.508988,0.490847,0.490847
933,-201.055206,256.123779,10.000000,0.508918,0.508918,0.490920,0.490920
966,-201.473206,256.139435,10.000000,0.508847,0.508847,0.490993,0.490993
1000,-201.891586,256.155121,10.000000,0.508777,0.508777,0.491066,0.491066
1033,-202.310303,256.170807,10.000000,0.508706,0.508706,0.491139,0.491139
1066,-202.729401,256.186523,10.000000,0.508636,0.508636,0.491213,0.491212
1100,-203.148834,256.202240,10.000000,0.508565,0.508565,0.491286,0.491285
1133,-203.568680,256.216919,10.000000,0.508491,0.508491,0.491362,0.491362
1166,-203.988922,256.230408,10.000000,0.508414,0.508414,0.491442,0.491442
1200,-204.409515,256.243896,10.000000,0.508336,0.508336,0.491523,0.491523
1233,-204.830460,256.257416,10.000000,0.508258,0.508258,0.491603,0.491603
1266,-205.251770,256.270935,10.000000,0.508180,0.508180,0.491684,0.491684
1300,-205.673431,256.284485,10.000000,0.508102,0.508102,0.491764,0.491764
1333,-206.095428,256.298004,10.000000,0.508024,0.508024,0.491845,0.491845
1366,-206.517807,256.311584,10.000000,0.507946,0.507946,0.491925,0.491925
