Timestamp,Trans_x,Trans_y,Trans_z,Quaternion_w,Quaternion_x,Quaternion_y,Quaternion_z
0,-189.898911,-9.984214,255.669083,0.715248,-0.005844,-0.698720,-0.013257
33,-189.908554,-10.002369,255.691223,0.731134,-0.001184,-0.682215,0.004896
66,-190.317108,-10.023503,255.713531,0.719416,-0.010408,-0.694213,0.020011
100,-190.721802,-10.010204,255.741180,0.719658,-0.015420,-0.694157,-0.000603
133,-191.128540,-9.990798,255.747681,0.716113,-0.006914,-0.697943,-0.003126
166,-191.539795,-10.007941,255.762573,0.722748,-0.015823,-0.690930,0.000083
200,-191.959747,-10.005924,255.777817,0.717711,0.002853,-0.696321,0.004408
233,-192.357849,-9.998161,255.780136,0.715724,0.003073,-0.698375,-0.001372
266,-192.762985,-10.001881,255.805756,0.728704,0.003464,-0.684820,0.000030
300,-193.176437,-9.999649,255.805161,0.711661,-0.011699,-0.702098,-0.021444
333,-193.595779,-9.985027,255.820084,0.718361,0.000527,-0.695649,0.005423
366,-193.993027,-10.005610,255.848679,0.717270,-0.010911,-0.696462,-0.018591
400,-194.395050,-9.995687,255.861420,0.715080,-0.006611,-0.699001,0.003719
433,-194.828506,-9.982545,255.883835,0.715182,0.006680,-0.698840,0.009630
466,-195.229065,-9.995963,255.915375,0.711291,-0.010495,-0.702819,-0.000079
500,-195.659760,-9.994635,255.921570,0.730071,0.000308,-0.683283,0.010995
533,-196.066254,-9.984113,255.937271,0.717443,-0.000259,-0.696529,0.011083
566,-196.470917,-9.998364,255.931213,0.724950,0.008168,-0.688746,-0.003039
600,-196.887024,-10.003996,255.960220,0.721473,0.000858,-0.692348,-0.011410
633,-197.314911,-9.999818,255.988098,0.718581,-0.011532,-0.695332,0.004688
666,-197.724075,-9.984979,256.002136,0.720954,0.002135,-0.692769,-0.017117
700,-198.135605,-10.000636,256.029999,0.711258,0.002690,-0.702926,0.000184
733,-198.559555,-10.012167,256.026428,0.722563,-0.008261,-0.691095,-0.014869
766,-198.944748,-10.017089,256.051636,0.717105,-0.011856,-0.696841,0.005632
800,-199.379410,-9.999504,256.038666,0.731417,0.017207,-0.681657,-0.008778
833,-199.786316,-9.999217,256.078918,0.703944,-0.010696,-0.710174,-0.001340
866,-200.216446,-10.003697,256.095673,0.720147,-0.006956,-0.693787,0.000279
900,-200.634949,-9.994919,256.104950,0.704542,-0.020639,-0.709271,-0.011397
933,-201.060379,-9.998019,256.123230,0.716263,0.005566,-0.697800,-0.003317
966,-201.463028,-10.000965,256.129425,0.716020,-0.012864,-0.697928,-0.006798
1000,-201.887802,-10.002563,256.166656,0.724338,0.003683,-0.689435,-0.000506
1033,-202.334229,-10.000289,256.178589,0.724243,0.005600,-0.689522,-0.000262
1066,-202.727692,-9.995742,256.179138,0.714503,0.005816,-0.699530,0.010408
1100,-203.156006,-9.994013,256.185913,0.721020,0.010219,-0.692822,0.004915
1133,-203.548630,-9.985353,256.220306,0.722202,-0.003052,-0.691672,0.002249
1166,-203.986237,-10.004866,256.234955,0.723024,-0.014255,-0.690619,0.008880
1200,-204.406525,-9.983301,256.260223,0.709564,0.013852,-0.704387,-0.012845
1233,-204.819626,-10.002117,256.247467,0.724698,-0.004243,-0.689052,0.001291
1266,-205.240967,-10.007527,256.265045,0.722634,-0.002216,-0.691213,-0.004368
1300,-205.676071,-9.994025,256.276672,0.720050,0.004915,-0.693902,-0.002035
1333,-206.088531,-9.978652,256.298248,0.725070,0.010090,-0.688565,0.007090
1366,-206.519897,-10.009254,256.312805,0.710061,0.003082,-0.704128,-0.002749
1400,-206.940186,-10.009937,256.330322,0.719620,-0.003138,-0.694329,0.006724
1433,-207.353760,-9.982025,256.342194,0.714225,-0.012155,-0.699809,-0.001245
1466,-207.788437,-9.997859,256.372101,0.717498,-0.001040,-0.696558,0.001578
1500,-208.232681,-9.992240,256.352692,0.725023,-0.019046,-0.688441,-0.005269
1533,-208.632126,-10.012414,256.393829,0.708893,-0.006371,-0.705060,0.017888
1566,-209.056061,-10.000707,256.407654,0.705706,-0.000010,-0.708493,0.003929
1600,-209.487900,-9.987564,256.402313,0.722036,-0.006699,-0.691823,-0.000033
1633,-209.920151,-10.003336,256.411957,0.721432,-0.000048,-0.692284,-0.016698
1666,-210.332397,-10.018568,256.427185,0.725110,0.003507,-0.688625,-0.000189
1700,-210.757706,-9.968546,256.458832,0.708193,-0.013365,-0.705891,-0.001408
1733,-211.190140,-10.008510,256.480133,0.731117,-0.005557,-0.682147,0.010618
1766,-211.625381,-9.997867,256.488281,0.720015,-0.004975,-0.693705,-0.018054
1800,-212.029724,-10.010416,256.484711,0.717960,-0.000830,-0.696066,-0.005070
1833,-212.449234,-10.007948,256.498779,0.719761,0.008619,-0.694010,0.014844
1866,-212.900040,-9.993773,256.497284,0.715163,0.006282,-0.698900,-0.006405
1900,-213.330978,-10.006198,256.494324,0.727629,0.009529,-0.685884,0.005328
1933,-213.754425,-10.000086,256.522308,0.721915,-0.015269,-0.691555,-0.018894
1966,-214.189804,-10.002591,256.542908,0.720867,0.005298,-0.693051,0.001831
2000,-214.617889,-9.990712,256.559021,0.710607,0.000559,-0.703577,0.004089
2033,-215.038605,-10.004299,256.547852,0.718253,-0.003235,-0.695741,-0.006865
2066,-215.482086,-10.013123,256.578979,0.721418,-0.008096,-0.692250,-0.016755
2100,-215.895340,-10.014904,256.587830,0.723351,-0.008135,-0.690431,-0.001156
2133,-216.329468,-10.004169,256.576569,0.714083,0.005840,-0.700032,0.002506
2166,-216.774887,-10.010441,256.598938,0.711466,0.013727,-0.702574,-0.004204
2200,-217.209915,-10.002769,256.606354,0.719525,0.017469,-0.694246,-0.001214
2233,-217.613388,-10.001550,256.618134,0.714150,0.011863,-0.699857,0.007006
2266,-218.050812,-10.002700,256.643524,0.717677,-0.002511,-0.696351,-0.005457
2300,-218.480164,-9.997846,256.636047,0.717830,0.003380,-0.696086,-0.013112
2333,-218.917236,-10.004397,256.633759,0.705569,0.015910,-0.708375,-0.011172
2366,-219.354019,-10.007429,256.655670,0.715153,-0.001252,-0.698798,-0.015364
2400,-219.794098,-9.988731,256.661133,0.714238,-0.018769,-0.699581,-0.009908
2433,-220.210007,-9.997012,256.675171,0.707085,-0.008048,-0.707081,0.001583
2466,-220.658661,-10.009436,256.701080,0.714413,0.000488,-0.699712,-0.003984
2500,-221.082794,-9.991945,256.712158,0.720155,-0.005010,-0.693515,-0.019696
2533,-221.520477,-10.005046,256.706055,0.709995,0.002543,-0.704146,-0.008876
2566,-221.939468,-9.995371,256.701141,0.702488,0.007865,-0.711643,0.003534
2600,-222.404144,-9.998793,256.718384,0.713254,-0.004369,-0.700883,-0.003641
2633,-222.818222,-9.993896,256.747040,0.710834,0.011440,-0.703168,-0.011775
2666,-223.258667,-10.006383,256.739044,0.710732,0.003561,-0.703446,0.003399
2700,-223.711105,-10.013146,256.761597,0.722424,0.003424,-0.691431,0.003801
2733,-224.138107,-9.994270,256.757660,0.712348,0.003666,-0.701797,-0.005251
2766,-224.573105,-10.013109,256.766602,0.720969,-0.002471,-0.692959,-0.002566
2800,-225.019684,-10.000787,256.763245,0.701199,0.010707,-0.712834,-0.008511
2833,-225.438934,-10.010318,256.772491,0.716334,0.011434,-0.697661,0.002048
2866,-225.852463,-9.989003,256.781677,0.713151,-0.000439,-0.700827,0.016032
2900,-226.330231,-10.001554,256.792542,0.713395,-0.006269,-0.700571,0.015106
2933,-226.757706,-9.991660,256.806000,0.711733,-0.003067,-0.702413,0.006556
2966,-227.191101,-9.985013,256.800201,0.713833,0.000280,-0.700105,-0.017187
3000,-227.640167,-10.001142,256.799622,0.713720,0.015489,-0.700214,0.008076
3033,-228.089447,-10.001323,256.825500,0.713516,-0.018123,-0.700398,0.003090
3066,-228.536621,-10.004231,256.829041,0.717947,-0.017410,-0.695823,-0.008930
3100,-228.964615,-9.989156,256.837952,0.711326,-0.012443,-0.702650,-0.011988
3133,-229.405075,-9.994943,256.853973,0.708987,0.000900,-0.705206,0.004613
3166,-229.843216,-9.992654,256.856628,0.713831,-0.008063,-0.700268,-0.002135
3200,-230.280289,-9.989687,256.840973,0.722132,0.026131,-0.691260,-0.001266
3233,-230.729523,-9.986300,256.851685,0.712702,0.002490,-0.701463,0.000101
3266,-231.152161,-9.991877,256.850281,0.703314,0.005916,-0.710855,-0.000045
3300,-231.605331,-10.011000,256.852722,0.706914,-0.008611,-0.707247,-0.000291
3333,-232.049026,-9.988181,256.846802,0.711668,0.001265,-0.702469,0.008030
3366,-232.488297,-10.004877,256.867188,0.721796,0.013729,-0.691958,-0.004014
3400,-232.951614,-9.998975,256.870392,0.694833,0.009555,-0.719068,0.007543
3433,-233.373627,-10.000347,256.843689,0.723383,0.002713,-0.690355,-0.010958
3466,-233.829636,-10.008578,256.874512,0.715615,0.004934,-0.698472,0.002818
3500,-234.255325,-10.006681,256.868042,0.702277,0.004100,-0.711882,-0.003801
3533,-234.719955,-10.001767,256.873108,0.712190,0.004998,-0.701964,-0.002591
3566,-235.155762,-9.993242,256.891541,0.706632,0.027463,-0.706976,0.010122
3600,-235.608322,-10.000155,256.873871,0.720303,0.005058,-0.693592,-0.008265
3633,-236.051956,-9.999986,256.878815,0.719119,-0.003224,-0.694880,-0.000509
3666,-236.492188,-10.000823,256.887238,0.709930,-0.001863,-0.704270,-0.000661
3699,-236.948105,-9.995326,256.887665,0.701676,0.012618,-0.712384,-0.000630
3733,-237.392349,-9.990597,256.881683,0.693862,0.004644,-0.720044,0.008378
3766,-237.832458,-9.989061,256.907196,0.703091,0.000963,-0.711065,-0.007044
3800,-238.268311,-10.001037,256.878021,0.706176,0.000028,-0.708007,-0.006418
3833,-238.749664,-9.989062,256.879089,0.704303,0.004842,-0.709823,0.009249
3866,-239.168243,-10.005613,256.891571,0.701054,0.013525,-0.712766,0.017477
3900,-239.637436,-10.000774,256.894958,0.710492,-0.004348,-0.703687,0.002611
3933,-240.064301,-10.000367,256.886749,0.694415,0.018575,-0.719307,0.006307
3966,-240.531250,-9.977072,256.886414,0.704372,-0.003019,-0.709807,0.005106
4000,-240.965897,-9.995139,256.874969,0.696713,0.014188,-0.717171,-0.007443
4033,-241.420273,-10.004699,256.892059,0.707098,0.002259,-0.707075,0.007269
4066,-241.896622,-10.002973,256.875702,0.702601,0.001428,-0.711583,0.000643
4100,-242.325943,-9.995562,256.885223,0.702678,0.007863,-0.711427,0.007303
4133,-242.775360,-9.994043,256.893341,0.707895,-0.013550,-0.706158,-0.006543
4166,-243.225220,-10.008786,256.897614,0.711463,0.002419,-0.702676,0.007896
4200,-243.656631,-9.991366,256.869385,0.698618,-0.006223,-0.715240,0.018054
4233,-244.117722,-10.013730,256.880524,0.702476,0.001180,-0.711658,-0.008363
4266,-244.585434,-10.003322,256.862823,0.706263,-0.008340,-0.707835,-0.009630
4300,-245.030640,-9.993602,256.879669,0.711238,-0.005834,-0.702810,-0.012821
4333,-245.474411,-9.995900,256.874084,0.709458,-0.000446,-0.704671,0.010347
4366,-245.925339,-10.008984,256.849335,0.699387,0.004572,-0.714680,0.008360
4400,-246.376297,-10.000022,256.855042,0.707879,0.002552,-0.706257,-0.010065
4433,-246.834137,-10.003666,256.863281,0.711063,0.004352,-0.702914,0.016792
4466,-247.293213,-9.998636,256.849579,0.695963,-0.006510,-0.718044,0.002471
4500,-247.745468,-10.005976,256.831085,0.706881,-0.000231,-0.707311,0.005441
