Timestamp,Trans_x,Trans_y,Trans_z,Quaternion_w,Quaternion_x,Quaternion_y,Quaternion_z
0,220.060715,163.067978,9.940777,0.264895,0.264895,-0.655615,-0.655615
33,220.061234,163.067535,9.940777,0.264904,0.264904,-0.655611,-0.655611
66,220.062790,163.066254,9.940777,0.264933,0.264933,-0.655599,-0.655599
100,220.065475,163.064133,9.940777,0.264981,0.264981,-0.655580,-0.655580
133,220.069138,163.061111,9.940777,0.265048,0.265048,-0.655553,-0.655553
166,220.073898,163.057297,9.940777,0.265134,0.265134,-0.655518,-0.655518
200,220.079697,163.052567,9.940777,0.265239,0.265239,-0.655476,-0.655476
233,220.086533,163.047028,9.940777,0.265363,0.265363,-0.655425,-0.655425
266,220.094406,163.040604,9.940777,0.265506,0.265506,-0.655367,-0.655367
300,220.103348,163.033356,9.940777,0.265668,0.265668,-0.655302,-0.655302
333,220.113358,163.025253,9.940777,0.265850,0.265850,-0.655228,-0.655228
366,220.124374,163.016281,9.940777,0.266050,0.266050,-0.655147,-0.655147
400,220.136459,163.006485,9.940777,0.266269,0.266269,-0.655058,-0.655058
433,220.149582,162.995819,9.940777,0.266507,0.266507,-0.654961,-0.654961
466,220.163773,162.984329,9.940777,0.266764,0.266764,-0.654857,-0.654857
500,220.179001,162.971970,9.940777,0.267039,0.267040,-0.654744,-0.654744
533,220.195236,162.958771,9.940777,0.267334,0.267334,-0.654624,-0.654624
566,220.212509,162.944717,9.940777,0.267648,0.267647,-0.654496,-0.654496
600,220.230881,162.929855,9.940777,0.267980,0.267980,-0.654360,-0.654360
633,220.250229,162.914108,9.940777,0.268331,0.268331,-0.654216,-0.654216
666,220.270645,162.897537,9.940777,0.268700,0.268700,-0.654064,-0.654064
700,220.292099,162.880112,9.940777,0.269089,0.269089,-0.653905,-0.653905
733,220.314621,162.861832,9.940777,0.269496,0.269496,-0.653737,-0.653737
766,220.338150,162.842758,9.940777,0.269921,0.269921,-0.653561,-0.653561
800,220.362717,162.822800,9.940777,0.270366,0.270366,-0.653378,-0.653378
833,220.388321,162.802032,9.940777,0.270829,0.270829,-0.653186,-0.653186
866,220.414932,162.780411,9.940777,0.271310,0.271310,-0.652986,-0.652986
900,220.442612,162.757950,9.940777,0.271810,0.271810,-0.652778,-0.652778
933,220.471298,162.734634,9.940777,0.272329,0.272329,-0.652562,-0.652562
966,220.501022,162.710510,9.940777,0.272865,0.272865,-0.652338,-0.652338
1000,220.531754,162.685532,9.940777,0.273421,0.273421,-0.652105,-0.652105
1033,220.563583,162.659744,9.940777,0.273994,0.273994,-0.651864,-0.651864
1066,220.596359,162.633072,9.940777,0.274586,0.274586,-0.651615,-0.651615
1100,220.630234,162.605606,9.940777,0.275197,0.275197,-0.651358,-0.651358
1133,220.665085,162.577316,9.940777,0.275825,0.275825,-0.651092,-0.651092
1166,220.700974,162.548141,9.940777,0.276472,0.276472,-0.650817,-0.650817
1200,220.737900,162.518188,9.940777,0.277137,0.277137,-0.650535,-0.650534
1233,220.775864,162.487381,9.940777,0.277820,0.277820,-0.650243,-0.650243
1266,220.814835,162.455734,9.940777,0.278521,0.278521,-0.649943,-0.649943
1300,220.854813,162.423264,9.940777,0.279241,0.279241,-0.649634,-0.649634
1333,220.895798,162.389999,9.940777,0.279978,0.279978,-0.649317,-0.649317
1366,220.937851,162.355865,9.940777,0.280733,0.280733,-0.648991,-0.648991
1400,220.980881,162.320892,9.940777,0.281506,0.281506,-0.648656,-0.648656
1433,221.024979,162.285141,9.940777,0.282297,0.282297,-0.648312,-0.648312
1466,221.070053,162.248520,9.940777,0.283106,0.283106,-0.647959,-0.647959
1500,221.116135,162.211075,9.940777,0.283933,0.283933,-0.647597,-0.647597
1533,221.163284,162.172852,9.940777,0.284777,0.284777,-0.647226,-0.647226
1566,221.211411,162.133774,9.940777,0.285639,0.285639,-0.646846,-0.646846
1600,221.260544,162.093842,9.940777,0.286519,0.286519,-0.646457,-0.646457
1633,221.310715,162.053131,9.940777,0.287416,0.287416,-0.646059,-0.646059
1666,221.361893,162.011581,9.940777,0.288331,0.288331,-0.645651,-0.645651
1700,221.414078,161.969223,9.940777,0.289264,0.289264,-0.645234,-0.645234
1733,221.467270,161.926025,9.940777,0.290214,0.290214,-0.644807,-0.644807
1766,221.521469,161.882004,9.940777,0.291181,0.291181,-0.644371,-0.644371
1800,221.576706,161.837204,9.940777,0.292165,0.292165,-0.643925,-0.643925
1833,221.632919,161.791550,9.940777,0.293167,0.293167,-0.643470,-0.643470
1866,221.690170,161.745087,9.940777,0.294186,0.294186,-0.643004,-0.643004
1900,221.748398,161.697784,9.940777,0.295222,0.295222,-0.642529,-0.642529
1933,221.807632,161.649704,9.940777,0.296275,0.296275,-0.642044,-0.642044
1966,221.867874,161.600784,9.940777,0.297346,0.297346,-0.641549,-0.641549
2000,221.929153,161.551071,9.940777,0.298433,0.298433,-0.641044,-0.641044
2033,221.991379,161.500519,9.940777,0.299537,0.299537,-0.640529,-0.640529
2066,222.054672,161.449173,9.940777,0.300658,0.300658,-0.640004,-0.640004
2100,222.118881,161.397003,9.940777,0.301796,0.301796,-0.639468,-0.639468
2133,222.184189,161.344040,9.940777,0.302951,0.302951,-0.638922,-0.638922
2166,222.250412,161.290207,9.940777,0.304122,0.304122,-0.638365,-0.638365
2200,222.317673,161.235611,9.940777,0.305310,0.305310,-0.637798,-0.637798
2233,222.385910,161.180191,9.940777,0.306514,0.306514,-0.637220,-0.637220
2266,222.455185,161.123978,9.940777,0.307735,0.307735,-0.636631,-0.636631
2300,222.525406,161.066940,9.940777,0.308973,0.308973,-0.636031,-0.636031
2333,222.596664,161.009109,9.940777,0.310226,0.310226,-0.635421,-0.635421
2366,222.668900,160.950470,9.940777,0.311496,0.311496,-0.634799,-0.634799
2400,222.742111,160.891022,9.940777,0.312782,0.312782,-0.634167,-0.634167
2433,222.816330,160.830765,9.940777,0.314085,0.314085,-0.633523,-0.633523
2466,222.891556,160.769684,9.940777,0.315403,0.315403,-0.632867,-0.632867
2500,222.967728,160.707840,9.940777,0.316737,0.316737,-0.632201,-0.632201
2533,223.044937,160.645157,9.940777,0.318087,0.318087,-0.631523,-0.631522
2566,223.123093,160.581696,9.940777,0.319453,0.319453,-0.630833,-0.630833
2600,223.202286,160.517410,9.940777,0.320834,0.320834,-0.630131,-0.630131
2633,223.282425,160.452332,9.940777,0.322232,0.322232,-0.629418,-0.629418
2666,223.363571,160.386444,9.940777,0.323645,0.323645,-0.628692,-0.628692
2700,223.445724,160.319794,9.940777,0.325073,0.325073,-0.627955,-0.627955
2733,223.532822,160.257553,9.940777,0.325705,0.325705,-0.627627,-0.627627
2766,223.622910,160.197159,9.940777,0.325948,0.325948,-0.627501,-0.627501
2800,223.714005,160.136002,9.940777,0.326194,0.326194,-0.627374,-0.627373
2833,223.806198,160.074173,9.940777,0.326443,0.326443,-0.627244,-0.627244
2866,223.899429,160.011642,9.940777,0.326694,0.326694,-0.627113,-0.627113
2900,223.993729,159.948425,9.940777,0.326948,0.326948,-0.626981,-0.626981
2933,224.089066,159.884476,9.940777,0.327205,0.327205,-0.626847,-0.626847
2966,224.185440,159.819824,9.940777,0.327465,0.327465,-0.626711,-0.626711
3000,224.282883,159.754501,9.940777,0.327727,0.327727,-0.626574,-0.626574
3033,224.381332,159.688446,9.940777,0.327992,0.327992,-0.626435,-0.626435
3066,224.480881,159.621704,9.940777,0.328260,0.328260,-0.626295,-0.626295
3100,224.581406,159.554276,9.940777,0.328531,0.328531,-0.626153,-0.626153
